nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
THEATRE JULES JULIEN;160;17;oui;2008;AV DES ECOLES JULES JULIEN;JULIEN (AV DES ECOLES JULES JULIEN);21;3105552860;Toulouse;31555;1575004.7611;2264839.293;1.45248014104867;43.5732974515011
RANGUEIL BEDOUCE;161;16;oui;2008;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);35;3105557268;Toulouse;31555;1575202.6868;2265207.3616;1.45484622844191;43.5766426282409
METRO SAOUZELONG;164;20;oui;2008;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);77;3105550112;Toulouse;31555;1575626.429;2265546.7308;1.46001451740789;43.5797667669059
BEDOUCE CANAL DU MIDI;163;20;oui;2008;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);115;3105550112;Toulouse;31555;1575824.3666;2265743.7526;1.46242017598854;43.5815724707245
ITALIE;162;17;oui;2008;AV D ITALIE;ITALIE (AV D ITALIE);49;3105554364;Toulouse;31555;1575211.4627;2265611.743;1.45486278450323;43.5802832567194
AVIONS LIBELLULES;165;15;oui;2008;AV DES AVIONS;AVIONS (AV DES AVIONS);35;3105550732;Toulouse;31555;1575630.3455;2265224.3072;1.4601361685833;43.5768658020141
BONNEFOY LEMAITRE;135;17;oui;2008;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);183;3105553204;Toulouse;31555;1575610.3563;2270362.3552;1.45872172860384;43.6231013627158
BILA;168;15;oui;2008;PL BILA;BILA (PL BILA);1;3105551168;Toulouse;31555;1575621.6977;2270749.422;1.4587742473841;43.6265865357441
RPT POINT LAFFORGUE;172;20;oui;2008;RPT DE L ABBE G. LAFFORGUE;LAFFORGUE (RPT DE L ABBE G. LAFFORGUE);0;3105550011;Toulouse;31555;1575842.8403;2272555.0238;1.46110410307354;43.6428719804186
METRO BOURGES MAUNOURY;175;30;oui;2008;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);00;3105555789;Toulouse;31555;1575125.2563;2272234.2956;1.45228507175573;43.6398670499216
BOURGES MAUNOURY MELAT;174;20;oui;2008;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);41;3105555789;Toulouse;31555;1575150.9309;2271906.4128;1.45267805538874;43.6369206349532
BOURGES MAUNOURY SEGLA;173;20;oui;2008;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);25;3105555789;Toulouse;31555;1574986.8054;2271498.0022;1.45073775462181;43.6332180523456
LAPUJADE FLANDRES;167;18;oui;2008;CHE DE LAPUJADE;LAPUJADE (CHE DE LAPUJADE);98;3105555028;Toulouse;31555;1575286.1786;2270480.0376;1.45467901611775;43.6241068133735
MAUNOURY PISAN;153;18;oui;2008;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);9;3105555789;Toulouse;31555;1574772.5032;2270985.9178;1.44819976763299;43.6285741117872
GUESDE TRENTE SIX  PONTS;68;18;oui;2008;ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);3;3105554812;Toulouse;31555;1574465.7919;2267034.6264;1.44530594719119;43.5929644339827
LEDUC;5;19;oui;2008;RUE RENE LEDUC;LEDUC (RUE RENE LEDUC);5;3105557413;Toulouse;31555;1575431.2011;2269057.014;1.45679944035559;43.6113246752224
GENERAL COMPANS;176;18;oui;2008;RUE DU GEN JEAN COMPANS;COMPANS (RUE DU GEN JEAN COMPANS);1;3105552250;Toulouse;31555;1575522.9837;2268557.1342;1.45804986995685;43.6068412893927
BAILLAUD BRUNAUD;177;20;oui;2008;RUE BENJAMIN BAILLAUD;BAILLAUD (RUE BENJAMIN BAILLAUD);64;3105551044;Toulouse;31555;1576144.576;2269724.1712;1.46548404807038;43.6174462077025
PLACE DE LA ROSERAIE;178;20;oui;2008;AV YVES BRUNAUD;BRUNAUD (AV YVES BRUNAUD);98;3105558972;Toulouse;31555;1576410.2085;2269926.6132;1.46872867951541;43.6193116595603
CASSAING PLANA;179;17;oui;2008;CHE CASSAING;CASSAING (CHE CASSAING);4;3105551744;Toulouse;31555;1576800.2464;2269657.1282;1.47362082289602;43.6169503756862
PLACE SOUPETARD;180;15;oui;2008;PL DE SOUPETARD;SOUPETARD (PL DE SOUPETARD);3;3105558300;Toulouse;31555;1577107.6143;2269127.0062;1.4775471262401;43.6122298530376
